brand,model,fuel,no of owner,yrs,transmission,kms,prices
Audi,Q3,Petrol,1st,2018.0,Automatic,"22,500","27,45,000"
Audi,A6,Diesel,,2016.0,Automatic,"41,050","33,00,000"
Audi,A4,Diesel,,2015.0,Automatic,"52,351","20,50,000"
Audi,Q8,Petrol,,2020.0,Automatic,"13,000","1,25,00,000"
Audi,Q5,Diesel,1st,2015.0,Automatic,"77,424","30,00,000"
Audi,A6,Diesel,2nd,2016.0,Automatic,"87,000","21,99,999"
,,,,,,"65,000","18,25,000"
Audi,A5,Petrol,1st,2002.0,Automatic,"95,000","15,00,000"
Audi,A6,Diesel,2nd,2014.0,Automatic,"70,000","17,50,000"
Audi,A5,Diesel,1st,2019.0,Automatic,"18,000","41,00,000"
Audi,A4,Petrol,1st,2012.0,Automatic,"61,000","9,75,000"
Audi,A6,Diesel,1st,2015.0,Automatic,"61,000","15,75,111"
Audi,A4,Diesel,1st,2013.0,Automatic,"79,000","11,50,000"
Audi,A6,Diesel,,2012.0,Automatic,"74,926","16,00,000"
Audi,Q5,Diesel,1st,2015.0,Automatic,"77,424","30,00,000"
,,,,,,"65,000","9,90,000"
Audi,A4,Diesel,1st,2013.0,Automatic,"54,000","14,50,000"
Audi,Q7,Diesel,1st,2019.0,Automatic,"22,000","65,00,000"
Audi,A6,Diesel,1st,2013.0,Automatic,"64,000","16,00,000"
Audi,Q7,Diesel,2nd,2014.0,Automatic,"68,000","25,00,000"
Audi,A6,Diesel,3rd,2016.0,Automatic,"40,000","22,85,000"
Audi,A4,Diesel,1st,2018.0,Automatic,"65,000","25,00,000"
Audi,A4,Diesel,2nd,2015.0,Automatic,"20,000","19,50,000"
Audi,Q5,Petrol,2nd,2010.0,Automatic,"91,000","7,50,000"
Audi,A3,Diesel,1st,2015.0,Automatic,"75,000","16,50,000"
Audi,A6,Diesel,1st,2014.0,Automatic,"47,250","15,00,000"
Audi,A4,Petrol,1st,2017.0,Automatic,"36,006","28,00,000"
Audi,A4,Diesel,2nd,2018.0,Automatic,"20,000","2,87,50,000"
Audi,Q3,Diesel,2nd,2013.0,Automatic,"52,000","16,50,000"
Audi,A4,Diesel,2nd,2009.0,Automatic,"75,000","8,25,000"
Audi,A6,Petrol,3rd,2008.0,Automatic,"145,000","5,00,000"
Audi,A6,Diesel,2nd,2017.0,Automatic,"12,600","22,50,000"
Audi,A4,Diesel,2nd,2012.0,Automatic,"70,000","10,50,000"
Audi,A4,Diesel,1st,2015.0,Automatic,"45,000","12,45,000"
Audi,Q7,Diesel,1st,2008.0,Automatic,"82,000","9,50,000"
